Номер позиции,ЮЛ,Локация,Подразделение,Отдел,Группа,Должность,ФИО,Тип работы
БСЗ511,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Одесса""",Специалист,Сотрудник Брусники 267,БП/Цифра
БСЗ512,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Одесса""",Специалист,Сотрудник Брусники 268,БП/Цифра
БСЗ513,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Одесса""",Руководитель группы,Сотрудник Брусники 269,БП/Цифра
БСЗ514,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Одесса""",Ведущий специалист,Сотрудник Брусники 270,БП/Цифра
БСЗ515,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Одесса""",Ведущий специалист,Сотрудник Брусники 271,БП/Цифра
БСЗ516,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Одесса""",Ведущий специалист,Сотрудник Брусники 272,БП/Цифра
БСЗ517,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Днепр""",Ведущий системный,Сотрудник Брусники 273,БП/Цифра
БСЗ518,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Днепр""",Ведущий системный,Сотрудник Брусники 274,БП/Цифра
БСЗ519,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Днепр""",Ведущий системный,Сотрудник Брусники 275,БП/Цифра
БСЗ520,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Днепр""",Ведущий системный,Сотрудник Брусники 276,БП/Цифра
БСЗ521,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Днепр""",Ведущий системный,Сотрудник Брусники 277,БП/Цифра
БСЗ522,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Днепр""",Руководитель проектов,Сотрудник Брусники 278,БП/Цифра
БСЗ523,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Специалист,Сотрудник Брусники 279,БП/Цифра
БСЗ524,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Ведущий системный,Сотрудник Брусники 280,БП/Цифра
БСЗ525,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Специалист,Сотрудник Брусники 281,БП/Цифра
БСЗ526,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Специалист,Сотрудник Брусники 282,БП/Цифра
БСЗ527,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Специалист,Сотрудник Брусники 283,БП/Цифра
БСЗ528,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Ведущий системный,Сотрудник Брусники 284,Бизнес
БСЗ529,БСЗ,Штаб,"Подразделение ""Деметра""",,"Группа ""Неаполь""",Ведущий системный,Сотрудник Брусники 285,Бизнес
БСЗ530,БСЗ,Штаб,"Подразделение ""Деметра""",,,Руководитель подразделения,Сотрудник Брусники 286,Бизнес
БСЗ531,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Главный бизнес-аналитик,Сотрудник Брусники 287,Бизнес
БСЗ532,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Главный бизнес-аналитик,Сотрудник Брусники 288,Бизнес
БСЗ533,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Специалист,Сотрудник Брусники 289,Бизнес
БСЗ534,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Ведущий бизнес-аналитик,Вакансия,Бизнес
БСЗ535,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Ведущий бизнес-аналитик,Вакансия,Бизнес
БСЗ536,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Главный бизнес-аналитик,Сотрудник Брусники 290,Бизнес
БСЗ537,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Ведущий бизнес-аналитик,Вакансия,Бизнес
БСЗ538,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Монако""",,Руководитель отдела,Сотрудник Брусники 291,Бизнес
БСЗ539,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Донецк""",Ведущий специалист,Сотрудник Брусники 292,Бизнес
БСЗ540,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Донецк""",Ведущий специалист,Вакансия,Бизнес
БСЗ541,БСЗ,Штаб,,"Отдел ""Польша""",,Руководитель отдела,Сотрудник Брусники 293,Бизнес
БСЗ542,БСЗ,Штаб,,"Отдел ""Польша""",,Ведущий специалист,Сотрудник Брусники 294,Бизнес
БСЗ543,БСЗ,Штаб,,"Отдел ""Польша""",,Ведущий специалист,Сотрудник Брусники 295,Бизнес
БСЗ544,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Руководитель отдела,Вакансия,Бизнес
БСЗ545,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Сотрудник Брусники 296,Бизнес
БСЗ546,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Сотрудник Брусники 297,Бизнес
БСЗ547,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Вакансия,Бизнес
БСЗ548,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Главный специалист,Вакансия,Бизнес
БСЗ549,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Ведущий специалист,Сотрудник Брусники 298,Бизнес
БСЗ550,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Ведущий специалист,Сотрудник Брусники 299,Бизнес
БСЗ551,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Сотрудник Брусники 300,Бизнес
БСЗ552,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Ведущий специалист,Сотрудник Брусники 301,Бизнес
БСЗ553,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Вакансия,Бизнес
БСЗ554,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Сотрудник Брусники 302,Бизнес
БСЗ555,БСЗ,Штаб,"Подразделение ""Одиссей""","Отдел ""Россия""",,Специалист,Сотрудник Брусники 303,Бизнес
БСЗ556,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Саратов""",Руководитель группы,Вакансия,Бизнес
БСЗ557,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Марсель""",Руководитель группы,Сотрудник Брусники 304,Бизнес
БСЗ558,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Марсель""",Ведущий специалист,Сотрудник Брусники 305,Бизнес
БСЗ559,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Марсель""",Ведущий специалист,Сотрудник Брусники 306,Бизнес
БСЗ560,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Марсель""",Ведущий специалист,Сотрудник Брусники 307,Бизнес
БСЗ561,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Амстердам""",Руководитель направления,Сотрудник Брусники 308,Бизнес
БСЗ562,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Амстердам""",Руководитель направления,Вакансия,Бизнес
БСЗ563,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Амстердам""",Руководитель направления,Сотрудник Брусники 309,Бизнес
БСЗ564,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Амстердам""",Руководитель направления,Вакансия,Бизнес
БСЗ565,БСЗ,Штаб,"Подразделение ""Одиссей""",,"Группа ""Амстердам""",Руководитель группы,Вакансия,Бизнес
БСЗ566,БСЗ,Штаб,"Подразделение ""Одиссей""",,,Руководитель проектов,Вакансия,Бизнес
БСЗ567,БСЗ,Штаб,"Подразделение ""Одиссей""",,,Руководитель проектного,Вакансия,Бизнес
БСЗ568,БСЗ,Штаб,"Подразделение ""Зевс""",,,Специалист,Сотрудник Брусники 310,Бизнес
БСЗ569,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 311,Бизнес
БСЗ570,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 312,Бизнес
БСЗ571,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 313,Бизнес
БСЗ572,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Загреб""",Специалист,Сотрудник Брусники 314,Бизнес
БСЗ573,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Загреб""",Специалист,Сотрудник Брусники 315,Бизнес
БСЗ574,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Загреб""",Специалист,Вакансия,Бизнес
БСЗ575,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 316,Бизнес
БСЗ576,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 317,Бизнес
БСЗ577,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 318,Бизнес
БСЗ578,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Турин""",Специалист,Сотрудник Брусники 319,Бизнес
БСЗ579,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Лидс""",Специалист,Вакансия,Бизнес
БСЗ580,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Лидс""",Специалист,Сотрудник Брусники 320,Бизнес
БСЗ581,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Копенгаген""",Специалист,Сотрудник Брусники 321,Бизнес
БСЗ582,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Лидс""",Специалист,Сотрудник Брусники 322,Бизнес
БСЗ583,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Копенгаген""",Специалист,Сотрудник Брусники 323,Бизнес
БСЗ584,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Копенгаген""",Специалист,Сотрудник Брусники 324,Бизнес
БСЗ585,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Валенсия""",Специалист,Сотрудник Брусники 325,Бизнес
БСЗ586,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Валенсия""",Специалист,Сотрудник Брусники 326,Бизнес
БСЗ587,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Валенсия""",Специалист,Сотрудник Брусники 327,Бизнес
БСЗ588,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Стокгольм""",Специалист,Сотрудник Брусники 328,Бизнес
БСЗ589,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Краков""",Специалист,Сотрудник Брусники 329,Бизнес
БСЗ590,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Краков""",Специалист,Вакансия,Бизнес
БСЗ591,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Франкфурт-на-Майне""",Специалист,Сотрудник Брусники 330,Бизнес
БСЗ592,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Франкфурт-на-Майне""",Специалист,Сотрудник Брусники 331,Бизнес
БСЗ593,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Львов""",Специалист,Сотрудник Брусники 332,Бизнес
БСЗ594,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Львов""",Специалист,Сотрудник Брусники 333,Бизнес
БСЗ595,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Запорожье""",Специалист,Сотрудник Брусники 334,Бизнес
БСЗ596,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Лидс""",Специалист,Сотрудник Брусники 335,Бизнес
БСЗ597,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""","Группа ""Лидс""",Специалист,Сотрудник Брусники 336,Бизнес
БСЗ598,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Румыния""",,Руководитель отдела,Сотрудник Брусники 337,Бизнес
БСЗ599,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Осло""",Специалист,Вакансия,Бизнес
БСЗ600,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Осло""",Ведущий дизайнер,Сотрудник Брусники 338,Бизнес
БСЗ601,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Кишинёв""",Ведущий системный,Сотрудник Брусники 339,Бизнес
БСЗ602,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Кишинёв""",Специалист,Сотрудник Брусники 340,Бизнес
БСЗ603,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Тольятти""",Руководитель группы,Сотрудник Брусники 341,Бизнес
БСЗ604,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Тольятти""",Специалист,Сотрудник Брусники 342,Бизнес
БСЗ605,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Тольятти""",Специалист,Вакансия,Бизнес
БСЗ606,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Севилья""",Специалист,Сотрудник Брусники 343,Бизнес
БСЗ607,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""","Группа ""Севилья""",Специалист,Сотрудник Брусники 344,Бизнес
БСЗ608,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Словакия""",,Руководитель отдела,Вакансия,Бизнес
БСЗ609,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Руководитель отдела,Сотрудник Брусники 345,Бизнес
БСЗ610,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Специалист,Сотрудник Брусники 346,Бизнес
БСЗ611,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Специалист,Сотрудник Брусники 347,Бизнес
БСЗ612,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Ведущий аналитик,Сотрудник Брусники 348,Бизнес
БСЗ613,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Специалист,Сотрудник Брусники 349,Сервис
БСЗ614,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Ведущий аналитик,Сотрудник Брусники 350,Сервис
БСЗ615,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Специалист,Вакансия,Сервис
БСЗ616,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Главный аналитик,Сотрудник Брусники 351,Сервис
БСЗ617,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Чехия""",,Главный аналитик,Сотрудник Брусники 352,Сервис
БСЗ618,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Сарагоса""",Руководитель проектов,Сотрудник Брусники 353,Сервис
БСЗ619,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Сарагоса""",Руководитель проектов,Вакансия,Сервис
БСЗ620,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Сарагоса""",Руководитель проектов,Сотрудник Брусники 354,Сервис
БСЗ621,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Лодзь""",Руководитель проектов,Сотрудник Брусники 355,Сервис
БСЗ622,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Лодзь""",Руководитель проектов,Сотрудник Брусники 356,Сервис
БСЗ623,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Лодзь""",Руководитель проектов,Сотрудник Брусники 357,Сервис
БСЗ624,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Палермо""",Руководитель проектов,Вакансия,Сервис
БСЗ625,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Хельсинки""",Руководитель проектов,Сотрудник Брусники 358,Сервис
БСЗ626,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Хельсинки""",Руководитель проектов,Сотрудник Брусники 359,Сервис
БСЗ627,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Хельсинки""",Руководитель группы,Сотрудник Брусники 360,Сервис
БСЗ628,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Хельсинки""",Руководитель проектов,Сотрудник Брусники 361,Сервис
БСЗ629,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Афины""",Руководитель проектов,Сотрудник Брусники 362,Сервис
БСЗ630,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Афины""",Руководитель группы,Сотрудник Брусники 363,Сервис
БСЗ631,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Афины""",Руководитель проектов,Сотрудник Брусники 364,Сервис
БСЗ632,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Афины""",Специалист,Сотрудник Брусники 365,Сервис
БСЗ633,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Хельсинки""",Специалист,Сотрудник Брусники 366,Сервис
БСЗ634,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Палермо""",Руководитель проектов,Сотрудник Брусники 367,Сервис
БСЗ635,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Роттердам""",Руководитель проектов,Сотрудник Брусники 368,Сервис
БСЗ636,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Роттердам""",Руководитель проектов,Сотрудник Брусники 369,Сервис
БСЗ637,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Роттердам""",Руководитель проектов,Сотрудник Брусники 370,Сервис
БСЗ638,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Роттердам""",Руководитель группы,Вакансия,Сервис
БСЗ639,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Роттердам""",Руководитель проектов,Сотрудник Брусники 371,Сервис
БСЗ640,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""","Группа ""Роттердам""",Руководитель проектов,Сотрудник Брусники 372,Бизнес
БСЗ641,БСЗ,Штаб,"Подразделение ""Посейдон""","Отдел ""Украина""",,Руководитель отдела,Сотрудник Брусники 373,Бизнес
БСЗ642,БСЗ,Штаб,"Подразделение ""Посейдон""",,,Специалист,Сотрудник Брусники 374,Бизнес
БСЗ643,БСЗ,Штаб,"Подразделение ""Посейдон""",,,Специалист,Сотрудник Брусники 375,Бизнес
БСЗ644,БСЗ,Штаб,"Подразделение ""Посейдон""",,,Руководитель подразделения,Сотрудник Брусники 376,Бизнес
БСЗ645,БСЗ,Штаб,"Подразделение ""Посейдон""",,,Специалист,Сотрудник Брусники 377,Бизнес
БСЗ646,БСЗ,Штаб,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 378,Бизнес
БСЗ647,БСЗ,Брусника.Тюмень,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 379,Бизнес
БСЗ648,БСЗ,Брусника.Тюмень,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 380,Бизнес
БСЗ649,БСЗ,Брусника.Тюмень,"Подразделение ""Гермес""","Отдел ""Болгария""",,Главный специалист,Сотрудник Брусники 381,Бизнес
БСЗ650,БСЗ,Брусника.Тюмень,"Подразделение ""Гермес""","Отдел ""Болгария""",,Главный специалист,Сотрудник Брусники 382,Бизнес
БСЗ651,БСЗ,Брусника.Тюмень,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 383,Бизнес
БСЗ652,БСЗ,Брусника.Сургут,"Подразделение ""Гермес""","Отдел ""Болгария""",,Главный специалист,Сотрудник Брусники 384,Бизнес
БСЗ653,БСЗ,Брусника.Сургут,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 385,Бизнес
БСЗ654,БСЗ,Брусника.Омск,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 386,Бизнес
БСЗ655,БСЗ,Брусника.Новосибирск,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 387,Бизнес
БСЗ656,БСЗ,Брусника.Новосибирск,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 388,Бизнес
БСЗ657,БСЗ,Брусника.Новосибирск,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 389,Бизнес
БСЗ658,БСЗ,Брусника.Новосибирск,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 390,Бизнес
БСЗ659,БСЗ,Брусника.Московская область,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 391,Бизнес
БСЗ660,БСЗ,Брусника.Московская область,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Вакансия,Бизнес
БСЗ661,БСЗ,Брусника.Московская область,"Подразделение ""Афина""",,,Специалист,Сотрудник Брусники 392,Бизнес
БСЗ662,БСЗ,Брусника.Московская область,"Подразделение ""Гермес""","Отдел ""Болгария""",,Ведущий специалист,Сотрудник Брусники 393,Бизнес
БСЗ663,БСЗ,Брусника.Московская область,"Подразделение ""Гермес""","Отдел ""Болгария""",,Ведущий специалист,Сотрудник Брусники 394,Бизнес
БСЗ664,БСЗ,Брусника.Московская область,,"Отдел ""Дания""",,Руководитель отдела,Сотрудник Брусники 395,Бизнес
БСЗ665,БСЗ,Брусника.Московская область,"Подразделение ""Арес""","Отдел ""Бельгия""","Группа ""Вроцлав""",Специалист,Сотрудник Брусники 396,Бизнес
БСЗ666,БСЗ,Брусника.Проектирование,,"Отдел ""Дания""",,Главный специалист-энергетик,Вакансия,Бизнес
БСЗ667,БСЗ,Брусника.Московская область,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 397,Бизнес
БСЗ668,БСЗ,Брусника.Екатеринбург,"Подразделение ""Гермес""","Отдел ""Болгария""",,Специалист,Сотрудник Брусники 398,Бизнес
БСЗ669,БСЗ,Брусника.Екатеринбург,"Подразделение ""Афина""",,,Специалист,Вакансия,Бизнес
БСЗ670,БСЗ,Брусника.Екатеринбург,"Подразделение ""Гермес""","Отдел ""Болгария""",,Главный специалист,Сотрудник Брусники 399,Бизнес
БСЗ671,БСЗ,Брусника.Екатеринбург,"Подразделение ""Гермес""","Отдел ""Болгария""",,Ведущий специалист,Сотрудник Брусники 400,Бизнес
БСЗ672,БСЗ,Брусника.Екатеринбург,"Подразделение ""Зевс""","Отдел ""Исландия""",,Руководитель отдела,Сотрудник Брусники 401,Бизнес
БСЗ673,БСЗ,Штаб,"Подразделение ""Зевс""","Отдел ""Исландия""",,Ведущий юрисконсульт,Сотрудник Брусники 402,Бизнес
БСЗ674,БСЗ,Штаб,"Подразделение ""Зевс""","Отдел ""Латвия""",,Главный юрисконсульт,Сотрудник Брусники 403,Бизнес
БСЗ675,БСЗ,Штаб,"Подразделение ""Зевс""","Отдел ""Латвия""",,Руководитель отдела,Сотрудник Брусники 404,Бизнес
БСЗ676,БСЗ,Штаб,"Подразделение ""Зевс""","Отдел ""Латвия""",,Главный юрисконсульт,Сотрудник Брусники 405,Бизнес
БСЗ677,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Штутгарт""",Специалист,Сотрудник Брусники 406,Бизнес
БСЗ678,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Штутгарт""",Ведущий юрисконсульт,Сотрудник Брусники 407,Бизнес
БСЗ679,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Штутгарт""",Руководитель группа,Сотрудник Брусники 408,Бизнес
БСЗ680,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Глазго""",Руководитель службы,Сотрудник Брусники 409,Бизнес
БСЗ681,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Глазго""",Специалист,Сотрудник Брусники 410,Сервис
БСЗ682,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Глазго""",Главный специалист,Сотрудник Брусники 411,Сервис
БСЗ683,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Махачкала""",Директор,Сотрудник Брусники 412,Сервис
БСЗ684,БСЗ,Штаб,"Подразделение ""Зевс""",,"Группа ""Махачкала""",Главный специалист-инженер,Сотрудник Брусники 413,Сервис
БСЗ685,БСЗ,Штаб,"Подразделение ""Зевс""",,,Ведущий юрисконсульт,Сотрудник Брусники 414,Сервис
БСЗ686,БСЗ,Штаб,"Подразделение ""Геракл""",,"Группа ""Дюссельдорф""",Руководитель группы,Сотрудник Брусники 415,Сервис
БСЗ687,БСЗ,Штаб,"Подразделение ""Зевс""",,,Руководитель подразделения,Сотрудник Брусники 416,Сервис
БСЗ688,БСЗ,Штаб,,"Отдел ""Литва""",,Руководитель отдела,Сотрудник Брусники 417,Сервис
БСЗ689,БСЗ,Брусника.Тюмень,,"Отдел ""Литва""",,Специалист,Сотрудник Брусники 418,Сервис
БСЗ690,БСЗ,Брусника.Тюмень,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 419,Сервис
БСЗ691,БСЗ,Брусника.Тюмень,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 420,Сервис
БСЗ692,БСЗ,Брусника.Тюмень,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 421,Сервис
БСЗ693,БСЗ,Брусника.Сургут,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 422,Сервис
БСЗ694,БСЗ,Брусника.Сургут,,"Отдел ""Литва""",,Специалист,Вакансия,Сервис
БСЗ695,БСЗ,Брусника.Омск,,"Отдел ""Литва""",,Руководитель отдела,Сотрудник Брусники 423,Сервис
БСЗ696,БСЗ,Брусника.Новосибирск,,"Отдел ""Литва""",,Специалист,Сотрудник Брусники 424,Сервис
БСЗ697,БСЗ,Брусника.Новосибирск,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 425,Сервис
БСЗ698,БСЗ,Брусника.Новосибирск,,"Отдел ""Литва""",,Главный юрисконсульт,Сотрудник Брусники 426,Сервис
БСЗ699,БСЗ,Брусника.Новосибирск,,"Отдел ""Литва""",,Ведущий юрисконсульт,Сотрудник Брусники 427,Сервис
